Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10090000,0,9.0,2,47.0,32.0,5.0,32.0,9.0,27.0,32.0,1.0,1.0,0.0,32.0,1.0,84.0,3380029.0,461.0,0.0,0.0,8505.0,0.0,0.0,23034.0,2160.0,8315179.0,1862.0,0.0,523.0,1038.0,0.0,100.0,11.0,2.0,6943331.0,0.0,0.0,31.0,1.0,31.0
10090001,0,10.0,1,10.0,20.0,537.0,41.0,10.0,8.0,41.0,1.0,1.0,"",20.0,0.0,17.0,9.0,11.0,0.0,1.0,6.0,0.0,0.0,420.0,5.0,10.0,8.0,1.0,378.0,11.0,0.0,75.0,1.0,2.0,11.0,0.0,0.0,16.0,3.0,88.0
10090002,0,3.0,1,5.0,21.0,10.0,8.0,9.0,0.0,800.0,2.0,8.0,"",8.0,0.0,32.0,53356.0,50457.0,10.0,0.0,2921.0,0.0,0.0,0.0,1947.0,53137.0,1700.0,2.0,239.0,53969.0,0.0,40.0,1.0,3.0,53214.0,0.0,2.0,0.0,2.0,1.0
10090003,0,"",58,17.0,8.0,33040.0,"",0.0,12.0,9.0,"",0.0,"",8.0,0.0,16.0,21.0,22.0,1.0,1.0,1681.0,0.0,0.0,9781.0,1051.0,22.0,967.0,4.0,30.0,20.0,0.0,39.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0,0.0
10090004,0,1.0,18,5.0,0.0,92.0,21.0,2.0,1.0,15.0,1.0,2.0,"",1.0,15.0,12.0,2479.0,147.0,1.0,0.0,542.0,0.0,0.0,0.0,254.0,2546.0,258.0,0.0,2.0,258.0,2.0,13.0,0.0,0.0,2042.0,0.0,0.0,7.0,0.0,0.0
10090005,1,"",0,"","",14601.0,19.0,1.0,0.0,9.0,"",1.0,"","",0.0,100.0,0.0,1.0,0.0,5.0,1114.0,0.0,0.0,0.0,629.0,0.0,611.0,1.0,181.0,0.0,2.0,163.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
10090006,0,"",50,57.0,37.0,302.0,"",0.0,34.0,44.0,"",0.0,"",41.0,1.0,5.0,8581.0,10872.0,0.0,4.0,1282.0,0.0,0.0,11165.0,764.0,8807.0,734.0,2.0,61.0,9596.0,7.0,5.0,129.0,1.0,9182.0,0.0,0.0,0.0,2.0,1.0
10090007,0,0.0,1027,"",0.0,3539.0,51.0,4.0,7.0,121.0,0.0,3.0,"",3.0,0.0,0.0,760186.0,256315.0,0.0,6.0,45.0,3.0,0.0,26.0,127.0,769109.0,25.0,0.0,166.0,629849.0,0.0,165.0,0.0,0.0,749580.0,1.0,2.0,10.0,0.0,0.0
10090008,1,1.0,37,0.0,12.0,14.0,6.0,4.0,10.0,20.0,1.0,4.0,"",5.0,0.0,82.0,37.0,46.0,0.0,3.0,236.0,0.0,0.0,139.0,1017.0,42.0,19.0,4.0,962.0,47.0,1.0,667.0,0.0,0.0,43.0,0.0,0.0,45.0,0.0,0.0
10090009,0,"",1,1.0,"","","","",0.0,"","","","","",0.0,0.0,39.0,51.0,0.0,0.0,117.0,0.0,1.0,0.0,145.0,44.0,142.0,0.0,234.0,51.0,8.0,121.0,0.0,0.0,45.0,1.0,4.0,55.0,0.0,0.0
10090010,0,"",29,4.0,14.0,3602.0,18.0,4.0,12.0,18.0,"",3.0,0.0,14.0,0.0,53.0,3177.0,4352.0,0.0,3.0,1078.0,0.0,0.0,1296.0,76.0,3252.0,88.0,0.0,316.0,3680.0,0.0,151.0,1.0,1.0,3364.0,0.0,0.0,547.0,1.0,3.0
10090011,0,"",106,8.0,8.0,9770.0,156.0,3.0,28.0,214.0,"",1.0,"",8.0,0.0,71.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,58.0,3.0,1.0,5.0,0.0,137.0,1.0,0.0,73.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0
10090012,0,"",463,73.0,33.0,8834.0,51.0,5.0,42.0,99.0,"",2.0,0.0,36.0,0.0,3.0,5874653.0,869724.0,0.0,1.0,564.0,0.0,0.0,3220.0,340.0,6453239.0,341.0,0.0,1.0,2194278.0,3.0,0.0,120.0,1.0,5769686.0,0.0,3.0,57537.0,2.0,26143.0
